highest_education,num_of_prev_attempts,disability,final_result
Lower Than A Level,0,N,completed
HE Qualification,0,N,completed
Lower Than A Level,1,N,not completed
A Level or Equivalent,0,N,not completed
Lower Than A Level,0,Y,not completed
Lower Than A Level,0,N,completed
A Level or Equivalent,0,N,not completed
A Level or Equivalent,0,Y,completed
A Level or Equivalent,0,N,completed
Lower Than A Level,1,N,not completed
Lower Than A Level,0,N,completed
A Level or Equivalent,0,N,not completed
Lower Than A Level,0,N,completed
A Level or Equivalent,1,N,completed
Lower Than A Level,0,N,not completed
HE Qualification,1,N,completed
A Level or Equivalent,0,N,completed
HE Qualification,1,N,completed
A Level or Equivalent,0,N,not completed
Lower Than A Level,1,N,not completed
A Level or Equivalent,0,N,not completed
Lower Than A Level,1,N,completed
Lower Than A Level,1,N,not completed
Lower Than A Level,0,N,completed
A Level or Equivalent,0,N,not completed
Lower Than A Level,0,N,completed
Lower Than A Level,0,N,completed
Lower Than A Level,0,N,completed
Lower Than A Level,0,N,completed
A Level or Equivalent,0,N,completed
HE Qualification,1,N,not completed
HE Qualification,0,N,completed
Lower Than A Level,0,N,completed
A Level or Equivalent,0,N,not completed
Lower Than A Level,0,N,completed
Lower Than A Level,0,N,completed
A Level or Equivalent,0,N,completed
HE Qualification,0,N,completed
Lower Than A Level,0,N,completed
HE Qualification,0,N,completed
HE Qualification,1,N,not completed
Lower Than A Level,0,Y,not completed
A Level or Equivalent,0,N,completed
Lower Than A Level,0,N,completed
A Level or Equivalent,0,N,completed
A Level or Equivalent,0,Y,completed
Lower Than A Level,0,N,not completed
A Level or Equivalent,0,N,completed
A Level or Equivalent,0,N,not completed
A Level or Equivalent,0,N,completed
A Level or Equivalent,1,N,completed
A Level or Equivalent,0,N,completed
HE Qualification,0,N,not completed
A Level or Equivalent,0,N,completed
A Level or Equivalent,0,N,completed
A Level or Equivalent,0,N,completed
A Level or Equivalent,0,N,completed
Lower Than A Level,0,N,not completed
Lower Than A Level,0,N,completed
Lower Than A Level,0,N,not completed
Lower Than A Level,0,N,completed
A Level or Equivalent,0,N,completed
A Level or Equivalent,0,N,completed
Post Graduate Qualification,0,N,completed
A Level or Equivalent,0,N,completed
A Level or Equivalent,0,N,completed
A Level or Equivalent,0,Y,completed
A Level or Equivalent,0,N,completed
HE Qualification,0,N,not completed
HE Qualification,0,N,completed
A Level or Equivalent,0,N,not completed
HE Qualification,0,N,not completed
HE Qualification,0,N,completed
A Level or Equivalent,0,N,not completed
A Level or Equivalent,0,N,completed
A Level or Equivalent,0,N,not completed
Lower Than A Level,0,N,completed
A Level or Equivalent,0,N,completed
A Level or Equivalent,0,N,completed
A Level or Equivalent,0,N,completed
A Level or Equivalent,0,N,not completed
A Level or Equivalent,0,N,not completed
HE Qualification,0,N,completed
No Formal quals,0,N,not completed
Lower Than A Level,0,N,not completed
A Level or Equivalent,0,N,completed
A Level or Equivalent,0,Y,not completed
A Level or Equivalent,0,N,not completed
Lower Than A Level,0,N,completed
Lower Than A Level,0,N,not completed
HE Qualification,0,N,completed
Lower Than A Level,0,N,completed
Lower Than A Level,0,N,completed
A Level or Equivalent,0,N,not completed
Lower Than A Level,0,Y,not completed
A Level or Equivalent,0,Y,not completed
Lower Than A Level,0,Y,not completed
Lower Than A Level,0,N,completed
A Level or Equivalent,0,N,not completed
A Level or Equivalent,0,N,completed
A Level or Equivalent,0,N,not completed
A Level or Equivalent,0,N,not completed
Lower Than A Level,0,N,completed
A Level or Equivalent,0,N,not completed
A Level or Equivalent,0,N,completed
Lower Than A Level,0,N,not completed
A Level or Equivalent,0,N,completed
HE Qualification,0,N,completed
A Level or Equivalent,0,N,completed
Lower Than A Level,0,N,not completed
A Level or Equivalent,0,N,completed
HE Qualification,0,N,not completed
Lower Than A Level,0,N,completed
A Level or Equivalent,0,N,not completed
HE Qualification,0,N,not completed
A Level or Equivalent,0,N,not completed
HE Qualification,0,Y,completed
Lower Than A Level,0,N,completed
Lower Than A Level,0,N,not completed
HE Qualification,0,N,completed
A Level or Equivalent,0,N,completed
A Level or Equivalent,0,N,completed
Lower Than A Level,0,N,completed
Lower Than A Level,0,N,not completed
A Level or Equivalent,0,N,completed
Lower Than A Level,0,N,not completed
HE Qualification,0,N,not completed
A Level or Equivalent,0,N,completed
HE Qualification,0,N,not completed
Lower Than A Level,0,N,not completed
A Level or Equivalent,0,N,completed
A Level or Equivalent,0,N,not completed
A Level or Equivalent,0,N,completed
A Level or Equivalent,0,N,completed
HE Qualification,0,N,completed
A Level or Equivalent,0,N,completed
Lower Than A Level,0,Y,completed
HE Qualification,0,N,not completed
HE Qualification,0,N,not completed
HE Qualification,0,N,completed
Lower Than A Level,0,N,not completed
A Level or Equivalent,0,N,completed
Lower Than A Level,0,N,completed
Lower Than A Level,0,N,completed
A Level or Equivalent,0,N,not completed
Lower Than A Level,0,Y,not completed
Lower Than A Level,0,N,completed
Lower Than A Level,0,N,not completed
Lower Than A Level,0,N,completed
HE Qualification,0,N,not completed
HE Qualification,0,N,not completed
A Level or Equivalent,0,N,completed
A Level or Equivalent,0,N,completed
A Level or Equivalent,0,N,completed
A Level or Equivalent,0,N,completed
Post Graduate Qualification,0,N,completed
HE Qualification,0,N,not completed
HE Qualification,0,N,not completed
A Level or Equivalent,0,N,completed
Post Graduate Qualification,0,N,completed
A Level or Equivalent,0,N,not completed
HE Qualification,0,N,completed
HE Qualification,0,N,not completed
HE Qualification,0,N,not completed
A Level or Equivalent,0,N,completed
A Level or Equivalent,0,Y,completed
Lower Than A Level,0,N,not completed
Lower Than A Level,0,N,not completed
Lower Than A Level,0,N,not completed
A Level or Equivalent,0,N,not completed
Lower Than A Level,0,N,not completed
Lower Than A Level,0,N,not completed
Lower Than A Level,0,N,completed
A Level or Equivalent,0,N,completed
Lower Than A Level,0,N,not completed
A Level or Equivalent,0,N,completed
A Level or Equivalent,0,N,completed
A Level or Equivalent,0,N,not completed
Lower Than A Level,0,N,not completed
A Level or Equivalent,0,N,not completed
A Level or Equivalent,0,N,not completed
A Level or Equivalent,0,Y,not completed
A Level or Equivalent,0,N,not completed
HE Qualification,0,N,completed
A Level or Equivalent,0,N,not completed
A Level or Equivalent,0,N,completed
No Formal quals,0,N,not completed
A Level or Equivalent,0,N,completed
No Formal quals,0,N,not completed
A Level or Equivalent,0,N,completed
A Level or Equivalent,0,N,completed
Lower Than A Level,0,N,completed
Lower Than A Level,0,N,completed
A Level or Equivalent,0,N,completed
Lower Than A Level,0,N,completed
Lower Than A Level,0,N,not completed
A Level or Equivalent,0,N,completed
A Level or Equivalent,0,N,completed
Lower Than A Level,0,N,completed
HE Qualification,0,N,not completed
A Level or Equivalent,0,N,completed
A Level or Equivalent,0,N,completed
HE Qualification,0,N,completed
A Level or Equivalent,0,N,completed
Lower Than A Level,0,N,completed
HE Qualification,0,N,not completed
HE Qualification,0,N,completed
A Level or Equivalent,0,N,not completed
A Level or Equivalent,0,N,completed
A Level or Equivalent,0,N,not completed
Lower Than A Level,0,N,not completed
Lower Than A Level,0,N,completed
A Level or Equivalent,0,N,completed
Lower Than A Level,0,N,completed
HE Qualification,0,N,not completed
A Level or Equivalent,0,N,completed
Lower Than A Level,0,N,not completed
A Level or Equivalent,0,Y,completed
A Level or Equivalent,0,N,completed
Lower Than A Level,0,N,not completed
A Level or Equivalent,0,N,completed
A Level or Equivalent,0,N,completed
A Level or Equivalent,0,N,not completed
Lower Than A Level,0,N,not completed
Lower Than A Level,0,N,not completed
Lower Than A Level,0,N,not completed
HE Qualification,0,N,completed
A Level or Equivalent,0,N,not completed
HE Qualification,0,N,not completed
A Level or Equivalent,0,N,completed
A Level or Equivalent,0,N,completed
A Level or Equivalent,0,N,not completed
HE Qualification,0,N,completed
A Level or Equivalent,0,N,completed
Lower Than A Level,0,N,not completed
A Level or Equivalent,0,N,completed
Lower Than A Level,0,N,completed
A Level or Equivalent,0,N,not completed
HE Qualification,0,N,completed
Lower Than A Level,0,N,not completed
A Level or Equivalent,0,N,not completed
Lower Than A Level,0,N,not completed
A Level or Equivalent,0,N,completed
Lower Than A Level,0,N,not completed
Lower Than A Level,0,N,not completed
A Level or Equivalent,0,N,not completed
A Level or Equivalent,0,N,completed
Lower Than A Level,0,N,completed
Lower Than A Level,0,N,not completed
A Level or Equivalent,0,N,not completed
Lower Than A Level,0,N,not completed
HE Qualification,0,N,completed
Lower Than A Level,0,N,not completed
Lower Than A Level,0,N,not completed
Lower Than A Level,0,N,completed
Lower Than A Level,0,N,not completed
A Level or Equivalent,0,N,completed
Lower Than A Level,0,N,not completed
A Level or Equivalent,0,N,completed
A Level or Equivalent,0,N,completed
A Level or Equivalent,0,N,completed
A Level or Equivalent,0,N,not completed
Lower Than A Level,0,Y,not completed
Lower Than A Level,0,N,completed
A Level or Equivalent,0,Y,completed
A Level or Equivalent,0,N,completed
A Level or Equivalent,0,N,not completed
A Level or Equivalent,0,N,completed
A Level or Equivalent,0,N,completed
HE Qualification,0,N,not completed
Lower Than A Level,0,N,completed
Lower Than A Level,0,N,completed
A Level or Equivalent,0,N,completed
HE Qualification,0,N,not completed
A Level or Equivalent,0,N,completed
A Level or Equivalent,0,N,completed
Lower Than A Level,0,N,not completed
Lower Than A Level,0,N,completed
A Level or Equivalent,0,N,not completed
A Level or Equivalent,0,N,not completed
Lower Than A Level,0,N,completed
HE Qualification,0,N,not completed
A Level or Equivalent,0,N,completed
Lower Than A Level,0,N,not completed
A Level or Equivalent,0,N,not completed
A Level or Equivalent,0,N,not completed
Lower Than A Level,0,N,completed
HE Qualification,0,N,completed
Lower Than A Level,0,N,not completed
A Level or Equivalent,0,Y,completed
A Level or Equivalent,0,N,completed
Lower Than A Level,0,N,not completed
Lower Than A Level,0,N,completed
HE Qualification,0,N,completed
A Level or Equivalent,0,N,not completed
A Level or Equivalent,0,N,completed
A Level or Equivalent,0,N,not completed
Lower Than A Level,0,N,completed
A Level or Equivalent,0,N,completed
A Level or Equivalent,0,N,completed
Lower Than A Level,0,N,completed
A Level or Equivalent,0,N,completed
HE Qualification,0,N,completed
HE Qualification,0,N,not completed
HE Qualification,0,N,completed
Post Graduate Qualification,0,N,not completed
HE Qualification,0,N,completed
A Level or Equivalent,0,N,not completed
A Level or Equivalent,0,N,completed
HE Qualification,0,N,completed
A Level or Equivalent,0,N,completed
A Level or Equivalent,0,N,not completed
Lower Than A Level,0,N,not completed
Lower Than A Level,0,N,not completed
HE Qualification,0,N,completed
HE Qualification,0,N,completed
A Level or Equivalent,0,N,not completed
HE Qualification,0,N,completed
A Level or Equivalent,0,N,completed
Lower Than A Level,0,N,not completed
Lower Than A Level,0,N,not completed
HE Qualification,0,N,not completed
A Level or Equivalent,0,N,completed
Lower Than A Level,0,N,not completed
Lower Than A Level,0,N,not completed
A Level or Equivalent,0,N,completed
HE Qualification,0,N,not completed
Lower Than A Level,0,N,completed
Lower Than A Level,0,N,not completed
Lower Than A Level,0,N,completed
Lower Than A Level,0,N,not completed
Lower Than A Level,0,N,not completed
A Level or Equivalent,0,N,completed
A Level or Equivalent,0,N,completed
A Level or Equivalent,0,N,completed
Lower Than A Level,0,N,completed
HE Qualification,0,N,completed
Lower Than A Level,0,N,completed
A Level or Equivalent,0,Y,completed
Lower Than A Level,0,N,not completed
A Level or Equivalent,0,N,not completed
Lower Than A Level,0,N,completed
A Level or Equivalent,0,N,not completed
A Level or Equivalent,0,N,completed
A Level or Equivalent,0,N,completed
A Level or Equivalent,0,N,not completed
A Level or Equivalent,0,N,not completed
A Level or Equivalent,0,N,completed
Lower Than A Level,0,N,not completed
A Level or Equivalent,0,N,completed
HE Qualification,0,N,completed
Lower Than A Level,0,N,not completed
A Level or Equivalent,0,N,not completed
Lower Than A Level,0,N,completed
A Level or Equivalent,0,N,completed
A Level or Equivalent,0,N,not completed
HE Qualification,0,N,completed
A Level or Equivalent,0,N,completed
Lower Than A Level,0,N,not completed
A Level or Equivalent,0,N,not completed
Lower Than A Level,0,N,completed
Lower Than A Level,0,N,not completed
A Level or Equivalent,0,N,not completed
A Level or Equivalent,0,N,not completed
A Level or Equivalent,0,N,completed
Lower Than A Level,0,N,not completed
HE Qualification,0,N,completed
Lower Than A Level,0,N,not completed
A Level or Equivalent,0,Y,not completed
A Level or Equivalent,0,N,completed
Lower Than A Level,0,N,not completed
A Level or Equivalent,0,N,completed
A Level or Equivalent,0,N,not completed
A Level or Equivalent,0,N,completed
HE Qualification,0,N,completed
Lower Than A Level,0,N,completed
HE Qualification,0,N,completed
HE Qualification,0,N,completed
HE Qualification,0,N,completed
A Level or Equivalent,0,N,completed
